hip	simbad_id	ra_deg	dec_deg	v_mag
74707	HD 135345	229.016746	-41.491166	5.171
74716	HD 135348	229.043586	-43.484997	6.034
74732	HD 135534	229.095878	-22.399414	5.506
74750	HD 135160	229.152874	-60.904000	5.81
74769	HD 135430	229.215772	-47.864551	6.45
74775	HD 135468	229.229025	-46.202357	6.45
74778	* del Cir	229.237066	-60.957256	5.09
74785	* bet Lib	229.251724	-9.382914	2.62
74793	*  11 UMi	229.274539	71.823902	5.015
74824	* bet Cir	229.378539	-58.801207	4.057
74837	* eps Cir	229.412054	-63.610468	4.849
74857	* f Lup	229.457657	-30.148666	4.33
74875	HD 135730	229.539314	-41.061162	6.277
74896	HD 136138	229.602113	20.572763	5.686
74901	HD 136028	229.608862	-0.461234	5.89
74911	* mu. Lup	229.633429	-47.875277	4.27
74929	HD 135896	229.672092	-31.209350	6.194
74941	HD 135591	229.704764	-60.496332	5.46
74946	* gam TrA	229.727422	-68.679547	2.89
74950	V* GG Lup	229.734894	-40.788221	5.604
75000	HD 136403	229.875199	32.514901	6.311
75003	HD 136014	229.882170	-37.097161	6.178
75018	V* R TrA	229.940470	-66.496040	6.39
75043	HD 136729	230.021464	51.958515	5.64
75049	* omi CrB	230.035661	29.616207	5.51
75091	HD 135737	230.168961	-67.481526	6.318
75093	HD 136751	230.173667	44.434378	6.14
75097	* gam UMi	230.182098	71.834025	3.002
75101	HD 136442	230.195921	-2.413336	6.331
75110	*  28 Lib	230.223658	-18.158661	6.17
75118	* omi Lib	230.255789	-15.548352	6.143
75119	*   6 Ser	230.258318	0.715336	5.393
75125	HD 136643	230.278666	24.958017	6.361
75127	HD 136479	230.281705	-5.824852	5.537
75141	* del Lup	230.342974	-40.647530	3.19
75143	V* S CrB	230.349814	31.367385	5.8
75164	HD 136334	230.397094	-40.749482	6.183
75177	* phi01 Lup	230.451540	-36.261373	3.546
75178	*  50 Boo	230.452396	32.933694	5.372
75181	* nu.02 Lup	230.450625	-48.317631	5.65
75206	* nu.01 Lup	230.534461	-47.927793	5.0
75230	*   7 Ser	230.596807	12.567526	6.28
75256	HD 137389	230.655232	62.047064	5.986
75257	HD 137071	230.655713	39.581462	5.532
75260	HD 137443	230.660035	63.341465	5.712
75264	* eps Lup	230.670284	-44.689615	3.366
75294	*  30 Lib	230.757420	-15.134038	6.48
75304	* phi02 Lup	230.788961	-36.858488	4.54
75308	HD 136359	230.793765	-60.657170	5.651
75312	* eta CrB	230.801272	30.287825	4.98
75323	* gam Cir	230.844346	-59.320781	4.48
75324	HD 136607	230.854083	-46.140416	6.49
75342	*   8 Ser	230.932124	-1.022386	6.105
75352	HD 136956	230.967662	-12.369502	5.716
75369	HD 137390	231.021319	45.271031	6.055
75379	* eps Lib	231.049516	-10.322279	4.92
75411	* mu.01 Boo	231.122631	37.377156	4.31
75439	* ups Lup	231.187570	-39.710253	5.37
75458	* iot Dra	231.232391	58.966066	3.29
75501	* k Lup	231.334221	-38.733610	4.6
75530	* tau01 Ser	231.447489	15.428036	5.17
75535	HD 137510	231.471957	19.480707	6.241
75565	HD 136672	231.561349	-68.309167	5.892
75572	HD 137704	231.572432	34.335995	5.45
75587	HD 137928	231.634126	54.020295	6.43
75647	HD 137432	231.825544	-36.767560	5.45
75665	V* LX TrA	231.887827	-64.531500	5.706
75674	HD 137853	231.911971	25.101619	6.02
75695	* bet CrB	231.957309	29.105693	3.68
75696	HD 138265	231.964266	60.670221	5.9
75730	* zet01 Lib	232.064201	-16.716485	5.626
75736	V* BP Oct	232.079557	-88.133007	6.484
75742	HD 137465	232.113372	-51.597935	6.094
75761	*  10 Ser	232.159321	1.842080	5.17
75770	HD 138213	232.184966	47.201510	6.138
75788	HD 138338	232.236758	55.194937	6.427
75810	HD 138085	232.300483	16.395618	6.382
75818	V* KQ Lup	232.330292	-38.635033	6.43
75822	HD 138524	232.337890	62.099529	6.29
75828	HD 137709	232.351125	-46.732705	5.222
75919	HD 138341	232.594864	31.285928	6.452
75939	HD 138105	232.651046	-20.728553	6.194
75944	* zet03 Lib	232.668339	-16.609462	5.806
75959	HD 137366	232.704922	-71.654135	6.38
75973	* nu.01 Boo	232.732332	40.833048	5.026
75974	HD 138852	232.732349	64.208693	5.738
76006	HD 138525	232.842940	36.616599	6.39
76008	* tet UMi	232.853807	77.349360	4.982
76013	* kap01 Aps	232.878426	-73.389592	5.49
76033	HD 138268	232.930869	-20.164925	6.22
76041	* nu.02 Boo	232.945763	40.899335	4.978
76048	HD 138221	232.959290	-32.881115	6.488
76063	HD 138204	233.017442	-38.622541	6.219
76069	* tau02 Ser	233.040313	16.056169	6.216
76106	HD 138413	233.152921	-19.670458	5.52
76126	* zet04 Lib	233.230089	-16.852845	5.499
76127	* tet CrB	233.232426	31.359132	4.13
76133	*  11 Ser	233.241406	-1.186402	5.496
76165	HD 138395	233.351353	-40.490850	6.4
76198	HD 138803	233.469608	17.137357	6.49
76207	HD 138505	233.507115	-40.066433	5.82
76219	*  37 Lib	233.544594	-10.064533	4.62
76234	HD 138564	233.586886	-39.349208	6.349
76243	HD 138764	233.610476	-9.183439	5.17
76259	*  36 Lib	233.655492	-28.047020	5.138
76267	* alf CrB	233.671952	26.714685	2.24
76276	* del Ser	233.700615	10.538868	3.8
76297	* gam Lup	233.785201	-41.166757	2.765
76307	* mu. CrB	233.812161	39.010067	5.11
76311	HD 139357	233.817494	53.922141	5.964
76333	* gam Lib	233.881575	-14.789536	3.91
76337	* tau03 Ser	233.888457	17.655554	6.113
76366	HD 139284	233.954975	38.373925	6.28
76372	HD 139087	233.972368	11.265661	6.04
76376	HD 139493	233.987638	54.630501	5.79
76395	HD 138923	234.047346	-33.092804	6.251
76397	HD 138816	234.050414	-44.396826	5.434
76423	* tau04 Ser	234.117428	15.101456	6.25
76424	* tau05 Ser	234.121832	16.119084	5.926
76425	*  16 Ser	234.123225	10.010147	5.253
76440	* eps TrA	234.180095	-66.317038	4.104
76456	HD 139389	234.222617	29.991185	6.46
76470	* ups Lib	234.256037	-28.135110	3.589
76503	HD 139160	234.368749	-26.279864	6.194
76509	HD 139778	234.383364	54.508730	5.845
76519	HD 140227	234.413035	69.283344	5.627
76532	HD 139254	234.450173	-23.141707	5.79
76534	* phi Boo	234.456659	40.353435	5.254
76552	* ome Lup	234.513362	-42.567336	4.33
76567	HD 139290	234.565881	-28.206657	6.319
76568	HD 139798	234.567680	46.797772	5.742
76569	HD 139329	234.567860	-21.016318	5.816
76594	HD 139906	234.642520	50.423237	5.84
76600	* tau Lib	234.664040	-29.777749	3.642
76602	HD 139460	234.666491	-8.794721	6.5
76603	HD 139461	234.666919	-8.791446	6.38
76608	HD 139271	234.675751	-39.127746	6.041
76617	HD 139761	234.703549	34.675039	6.13
76618	HD 139129	234.706127	-52.372697	5.423
76628	*  41 Lib	234.727322	-19.301891	5.359
76651	HD 140117	234.789662	57.924426	6.44
76664	HD 138289	234.826655	-77.918005	6.181
76666	HD 139518	234.839043	-23.150229	6.322
76669	*   7 CrB A	234.844470	36.635811	4.979
76705	* psi01 Lup	234.941580	-34.411921	4.661
76716	HD 139211	234.985599	-59.908335	5.95
76733	HD 139862	235.043111	12.052933	6.215
76736	HD 138965	235.048149	-70.227883	6.424
76739	HD 139613	235.064697	-31.213773	6.34
76742	*  42 Lib	235.070406	-23.818084	4.96
76750	* kap02 Aps	235.088980	-73.446667	5.65
76809	HD 139599	235.242621	-47.736092	6.209
76810	* tau06 Ser	235.246252	16.024589	5.991
76829	* g Lup	235.297403	-44.661206	4.633
76852	* iot Ser	235.387728	19.670399	4.505
76866	* chi Ser	235.447561	12.847526	5.33
76877	HD 138867	235.477867	-76.081964	5.941
76878	* tau07 Ser	235.477986	18.464037	5.792
76880	* kap Lib	235.486635	-19.678793	4.72
76894	HD 139471	235.507366	-64.180286	6.47
76935	HD 139871	235.655109	-49.489534	6.01
76939	* h Lup	235.659652	-37.424939	5.24
76945	* psi02 Lup	235.670916	-34.710408	4.721
76952	* gam CrB	235.685690	26.295635	3.81
76957	V* BP Boo	235.711501	52.360901	5.482
76985	HD 140438	235.793914	13.667658	6.5
76996	* rho Oct	235.820535	-84.465275	5.568
77007	HD 140301	235.853578	-15.043230	6.295
77042	HD 139915	235.980319	-60.287218	6.475
77048	* pi. CrB	235.997081	32.515806	5.575
77055	* zet UMi	236.014661	77.794493	4.274
77058	V* T Nor	236.016019	-54.986811	6.2
77060	* eta Lib	236.018331	-15.672834	5.412
77070	* alf Ser	236.066975	6.425630	2.63
77086	HD 140285	236.094476	-41.819088	5.93
77111	* tau08 Ser	236.175551	17.264222	6.136
77163	HD 140775	236.347828	5.447319	5.58
77186	HD 140815	236.414618	0.891033	6.337
77227	*  25 Ser	236.523486	-1.804190	5.39
77233	* bet Ser	236.546897	15.421819	3.67
77257	* lam Ser	236.610893	7.353069	4.42
77272	HD 141472	236.644830	55.474788	5.917
77277	HD 141653	236.666693	62.599556	5.194
77286	HD 140784	236.684239	-34.682453	5.6
77287	HD 140986	236.689268	-6.120357	6.245
77336	* ups Ser	236.822137	14.115415	5.709
77350	HD 140861	236.856328	-40.194209	6.414
77358	HD 140901	236.871254	-37.916312	6.01
77370	HD 141675	236.908029	55.376626	5.878
77390	CD-65  2007	236.971054	-65.442280	5.53
77397	HD 141456	237.007470	31.735615	6.39
77412	HD 141353	237.055441	13.789080	5.97
77442	V* R CrB	237.143398	28.156749	5.71
77450	* kap Ser	237.184905	18.141565	4.09
77454	HD 140979	237.210073	-52.438254	6.05
77464	*  30 Ser	237.236654	-3.818511	5.524
77512	* del CrB	237.398529	26.068393	4.63
77516	* mu. Ser	237.405029	-3.430204	3.53
77541	HD 141194	237.489576	-48.912405	5.837
77562	HD 141168	237.529515	-53.209771	5.78
77574	HD 141296	237.567977	-45.401715	6.117
